version,group,family,stage,size_label,profile,target,experiment_purpose,config,training_status,probe_complete,initial_psnr_db,peak_psnr_db,peak_progress,final_psnr_db,gain_from_initial_db,drop_from_peak_db,needs_attention,attention_reason,validation_basis,trajectory,scope_count,data_source,metrics_or_log_path,rmdsrn_final_total_loss,rmdsrn_final_member_loss,rmdsrn_final_variance_kl,rmdsrn_final_lambda,rmdsrn_final_lr,result_summary
exploration,exploration / APMGSRN / 网格/解码器分配,APMGSRN,reconstruction,Size163,balanced,GT,比较 decoder-heavy、balanced、grid-heavy 三种网格/解码器参数分配。,configs_exploration/APMGSRN/Size163/balanced/ionization__GT.yaml,ok,true,22.282858,27.979951,50,27.979951,5.697092999999999,0,false,,按 v3 阈值回溯计算（回落>1dB 或增益<0.1dB）,"5:22.282858,10:24.079034,15:24.791528,20:25.349005,25:25.854171,30:26.373101,35:26.855429,40:27.330914,45:27.682014,50:27.979951",100,batch exploration_summary.tsv,runs/exploration/explore-apmgsrn-size163-balanced-GT/20260803_170107_127681/metrics/exploration_psnr.tsv,,,,,,通过：最终 PSNR=27.980 dB，首探针增益=+5.697 dB，较峰值回落=0.000 dB。
exploration,exploration / APMGSRN / 网格/解码器分配,APMGSRN,reconstruction,Size163,balanced,H_plus,比较 decoder-heavy、balanced、grid-heavy 三种网格/解码器参数分配。,configs_exploration/APMGSRN/Size163/balanced/ionization__H_plus.yaml,ok,true,16.157851,22.630593,50,22.630593,6.472742,0,false,,按 v3 阈值回溯计算（回落>1dB 或增益<0.1dB）,"5:16.157851,10:18.336817,15:19.224189,20:19.926069,25:20.538063,30:21.009524,35:21.450952,40:21.871872,45:22.297803,50:22.630593",100,batch exploration_summary.tsv,runs/exploration/explore-apmgsrn-size163-balanced-H_plus/20260803_170107_202265/metrics/exploration_psnr.tsv,,,,,,通过：最终 PSNR=22.631 dB，首探针增益=+6.473 dB，较峰值回落=0.000 dB。
exploration,exploration / APMGSRN / 网格/解码器分配,APMGSRN,reconstruction,Size163,balanced,H2,比较 decoder-heavy、balanced、grid-heavy 三种网格/解码器参数分配。,configs_exploration/APMGSRN/Size163/balanced/ionization__H2.yaml,ok,true,31.38961,32.757927,50,32.757927,1.3683170000000011,0,false,,按 v3 阈值回溯计算（回落>1dB 或增益<0.1dB）,"5:31.38961,10:31.482911,15:31.5818,20:31.712642,25:31.864005,30:32.01915,35:32.191697,40:32.395379,45:32.592499,50:32.757927",100,batch exploration_summary.tsv,runs/exploration/explore-apmgsrn-size163-balanced-H2/20260803_170107_204826/metrics/exploration_psnr.tsv,,,,,,通过：最终 PSNR=32.758 dB，首探针增益=+1.368 dB，较峰值回落=0.000 dB。
exploration,exploration / APMGSRN / 网格/解码器分配,APMGSRN,reconstruction,Size163,balanced,He,比较 decoder-heavy、balanced、grid-heavy 三种网格/解码器参数分配。,configs_exploration/APMGSRN/Size163/balanced/ionization__He.yaml,ok,true,16.480092,21.82451,50,21.82451,5.344418000000001,0,false,,按 v3 阈值回溯计算（回落>1dB 或增益<0.1dB）,"5:16.480092,10:17.825577,15:18.534721,20:19.205978,25:19.69162,30:20.218581,35:20.692065,40:21.133024,45:21.50558,50:21.82451",100,batch exploration_summary.tsv,runs/exploration/explore-apmgsrn-size163-balanced-He/20260803_170107_056066/metrics/exploration_psnr.tsv,,,,,,通过：最终 PSNR=21.825 dB，首探针增益=+5.344 dB，较峰值回落=0.000 dB。
exploration,exploration / APMGSRN / 网格/解码器分配,APMGSRN,reconstruction,Size163,balanced,PD,比较 decoder-heavy、balanced、grid-heavy 三种网格/解码器参数分配。,configs_exploration/APMGSRN/Size163/balanced/ionization__PD.yaml,ok,true,25.889306,30.589014,50,30.589014,4.6997079999999976,0,false,,按 v3 阈值回溯计算（回落>1dB 或增益<0.1dB）,"5:25.889306,10:27.276571,15:28.14852,20:28.846786,25:29.311749,30:29.709372,35:29.95367,40:30.179511,45:30.396925,50:30.589014",100,batch exploration_summary.tsv,runs/exploration/explore-apmgsrn-size163-balanced-PD/20260803_170107_173654/metrics/exploration_psnr.tsv,,,,,,通过：最终 PSNR=30.589 dB，首探针增益=+4.700 dB，较峰值回落=0.000 dB。
exploration,exploration / APMGSRN / 网格/解码器分配,APMGSRN,reconstruction,Size163,decoder_heavy,GT,比较 decoder-heavy、balanced、grid-heavy 三种网格/解码器参数分配。,configs_exploration/APMGSRN/Size163/decoder_heavy/ionization__GT.yaml,ok,true,21.07697,24.198927,50,24.198927,3.121957000000002,0,false,,按 v3 阈值回溯计算（回落>1dB 或增益<0.1dB）,"5:21.07697,10:22.392942,15:22.849673,20:23.199739,25:23.427641,30:23.598565,35:23.771531,40:23.991097,45:24.089646,50:24.198927",100,batch exploration_summary.tsv,runs/exploration/explore-apmgsrn-size163-decoder_heavy-GT/20260803_170958_599172/metrics/exploration_psnr.tsv,,,,,,通过：最终 PSNR=24.199 dB，首探针增益=+3.122 dB，较峰值回落=0.000 dB。
exploration,exploration / APMGSRN / 网格/解码器分配,APMGSRN,reconstruction,Size163,decoder_heavy,H_plus,比较 decoder-heavy、balanced、grid-heavy 三种网格/解码器参数分配。,configs_exploration/APMGSRN/Size163/decoder_heavy/ionization__H_plus.yaml,ok,true,14.861587,18.94446,50,18.94446,4.082872999999999,0,false,,按 v3 阈值回溯计算（回落>1dB 或增益<0.1dB）,"5:14.861587,10:16.203072,15:16.943379,20:17.487344,25:17.841303,30:18.098798,35:18.300272,40:18.679615,45:18.833761,50:18.94446",100,batch exploration_summary.tsv,runs/exploration/explore-apmgsrn-size163-decoder_heavy-H_plus/20260803_170958_299546/metrics/exploration_psnr.tsv,,,,,,通过：最终 PSNR=18.944 dB，首探针增益=+4.083 dB，较峰值回落=0.000 dB。
exploration,exploration / APMGSRN / 网格/解码器分配,APMGSRN,reconstruction,Size163,decoder_heavy,H2,比较 decoder-heavy、balanced、grid-heavy 三种网格/解码器参数分配。,configs_exploration/APMGSRN/Size163/decoder_heavy/ionization__H2.yaml,ok,true,31.078053,31.430479,30,31.366054,0.28800099999999773,0.06442499999999995,false,,按 v3 阈值回溯计算（回落>1dB 或增益<0.1dB）,"5:31.078053,10:31.29154,15:31.361801,20:31.365484,25:31.379,30:31.430479,35:31.364314,40:31.135061,45:31.280028,50:31.366054",100,batch exploration_summary.tsv,runs/exploration/explore-apmgsrn-size163-decoder_heavy-H2/20260803_170958_268283/metrics/exploration_psnr.tsv,,,,,,通过：最终 PSNR=31.366 dB，首探针增益=+0.288 dB，较峰值回落=0.064 dB。
exploration,exploration / APMGSRN / 网格/解码器分配,APMGSRN,reconstruction,Size163,decoder_heavy,He,比较 decoder-heavy、balanced、grid-heavy 三种网格/解码器参数分配。,configs_exploration/APMGSRN/Size163/decoder_heavy/ionization__He.yaml,ok,true,14.925145,18.966118,50,18.966118,4.040973000000001,0,false,,按 v3 阈值回溯计算（回落>1dB 或增益<0.1dB）,"5:14.925145,10:15.870917,15:16.464963,20:17.072879,25:17.571345,30:17.903056,35:18.255728,40:18.656947,45:18.821219,50:18.966118",100,batch exploration_summary.tsv,runs/exploration/explore-apmgsrn-size163-decoder_heavy-He/20260803_170958_418323/metrics/exploration_psnr.tsv,,,,,,通过：最终 PSNR=18.966 dB，首探针增益=+4.041 dB，较峰值回落=0.000 dB。
exploration,exploration / APMGSRN / 网格/解码器分配,APMGSRN,reconstruction,Size163,decoder_heavy,PD,比较 decoder-heavy、balanced、grid-heavy 三种网格/解码器参数分配。,configs_exploration/APMGSRN/Size163/decoder_heavy/ionization__PD.yaml,ok,true,24.351667,26.516125,50,26.516125,2.1644579999999998,0,false,,按 v3 阈值回溯计算（回落>1dB 或增益<0.1dB）,"5:24.351667,10:25.041697,15:25.333148,20:25.441438,25:25.717642,30:25.860315,35:26.042767,40:26.196431,45:26.33667,50:26.516125",100,batch exploration_summary.tsv,runs/exploration/explore-apmgsrn-size163-decoder_heavy-PD/20260803_170957_884716/metrics/exploration_psnr.tsv,,,,,,通过：最终 PSNR=26.516 dB，首探针增益=+2.164 dB，较峰值回落=0.000 dB。
