config	status	exit_code	log
configs/VarExpert/Size082/ionization.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__Size082__ionization.log
configs/VarExpert/Size1304/ionization.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__Size1304__ionization.log
configs/VarExpert/Size163/ionization.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__Size163__ionization.log
configs/VarExpert/Size326/ionization.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__Size326__ionization.log
configs/VarExpert/Size652/ionization.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__Size652__ionization.log
configs/VarExpert/bathymetry.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__bathymetry.log
configs/VarExpert/ionization.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__ionization.log
configs/VarExpert/ionization_e4_k3.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__ionization_e4_k3.log
configs/VarExpert/ionization_e5_k3.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__ionization_e5_k3.log
configs/VarExpert/ionization_e6_k3.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__ionization_e6_k3.log
configs/VarExpert/ionization_e7_k3.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__ionization_e7_k3.log
configs/VarExpert/ionization_e8_k3.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__ionization_e8_k3.log
configs/VarExpert/katrina.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__VarExpert__katrina.log
configs/SIREN/bathymetry__SALT.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__bathymetry__SALT.log
configs/SIREN/bathymetry__V.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__bathymetry__V.log
configs/SIREN/bathymetry__TEMP.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__bathymetry__TEMP.log
configs/SIREN/bathymetry__U.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__bathymetry__U.log
configs/SIREN/katrina__speed.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__katrina__speed.log
configs/SIREN/katrina__fort64.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__katrina__fort64.log
configs/SIREN/katrina__fort73.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__katrina__fort73.log
configs/SIREN/katrina__fort63.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__katrina__fort63.log
configs/SIREN/katrina__v.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__katrina__v.log
configs/SIREN/ionization__H_plus.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__ionization__H_plus.log
configs/SIREN/ionization__H2.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__ionization__H2.log
configs/SIREN/ionization__GT.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__ionization__GT.log
configs/SIREN/ionization__He.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__ionization__He.log
configs/SIREN/ionization__PD.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__ionization__PD.log
configs/SIREN/Size082/ionization__H_plus.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size082__ionization__H_plus.log
configs/SIREN/Size082/ionization__H2.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size082__ionization__H2.log
configs/SIREN/Size082/ionization__GT.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size082__ionization__GT.log
configs/SIREN/Size082/ionization__He.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size082__ionization__He.log
configs/SIREN/Size082/ionization__PD.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size082__ionization__PD.log
configs/SIREN/Size163/ionization__GT.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size163__ionization__GT.log
configs/SIREN/Size163/ionization__H_plus.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size163__ionization__H_plus.log
configs/SIREN/Size163/ionization__PD.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size163__ionization__PD.log
configs/SIREN/Size163/ionization__He.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size163__ionization__He.log
configs/SIREN/Size163/ionization__H2.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size163__ionization__H2.log
configs/SIREN/Size326/ionization__H2.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size326__ionization__H2.log
configs/SIREN/Size326/ionization__H_plus.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size326__ionization__H_plus.log
configs/SIREN/Size326/ionization__He.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size326__ionization__He.log
configs/SIREN/Size326/ionization__GT.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size326__ionization__GT.log
configs/SIREN/Size326/ionization__PD.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size326__ionization__PD.log
configs/SIREN/Size652/ionization__He.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size652__ionization__He.log
configs/SIREN/Size652/ionization__GT.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size652__ionization__GT.log
configs/SIREN/Size652/ionization__H2.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size652__ionization__H2.log
configs/SIREN/Size652/ionization__PD.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size652__ionization__PD.log
configs/SIREN/Size652/ionization__H_plus.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size652__ionization__H_plus.log
configs/SIREN/Size1304/ionization__H2.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size1304__ionization__H2.log
configs/SIREN/Size1304/ionization__PD.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size1304__ionization__PD.log
configs/SIREN/Size1304/ionization__He.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size1304__ionization__He.log
configs/SIREN/Size1304/ionization__H_plus.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size1304__ionization__H_plus.log
configs/SIREN/Size1304/ionization__GT.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__SIREN__Size1304__ionization__GT.log
configs/CoordNet/bathymetry__U.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__bathymetry__U.log
configs/CoordNet/bathymetry__V.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__bathymetry__V.log
configs/CoordNet/bathymetry__TEMP.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__bathymetry__TEMP.log
configs/CoordNet/bathymetry__SALT.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__bathymetry__SALT.log
configs/CoordNet/katrina__fort64.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__katrina__fort64.log
configs/CoordNet/katrina__v.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__katrina__v.log
configs/CoordNet/katrina__fort63.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__katrina__fort63.log
configs/CoordNet/katrina__fort73.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__katrina__fort73.log
configs/CoordNet/katrina__speed.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__katrina__speed.log
configs/CoordNet/ionization__H2.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__ionization__H2.log
configs/CoordNet/ionization__H_plus.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__ionization__H_plus.log
configs/CoordNet/ionization__PD.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__ionization__PD.log
configs/CoordNet/ionization__He.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__ionization__He.log
configs/CoordNet/ionization__GT.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__ionization__GT.log
configs/CoordNet/Size082/ionization__He.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__Size082__ionization__He.log
configs/CoordNet/Size082/ionization__H_plus.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__Size082__ionization__H_plus.log
configs/CoordNet/Size082/ionization__PD.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__Size082__ionization__PD.log
configs/CoordNet/Size082/ionization__GT.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__Size082__ionization__GT.log
configs/CoordNet/Size082/ionization__H2.yaml	ok	0	/mnt/data/workspace/huangjiabao/workplace/BasisExpert/batch_logs/20260711_115640/logs/configs__CoordNet__Size082__ionization__H2.log
